•4K「IPV4」,#genre#
Love Nature 4K「自然」,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
Loupe 4K「视觉」,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
Fashion 4K「时尚」,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
•咪咕「TV」,#genre#
CCTV 1 综合,https://tv.iill.top/migu/cctv1
CCTV 2 财经,https://tv.iill.top/migu/cctv2
CCTV 3 综艺,https://tv.iill.top/migu/cctv3
CCTV 4 中文国际,https://tv.iill.top/migu/cctv4
CCTV 4 中文国际·美洲,https://tv.iill.top/migu/cctv4m
CCTV 4 中文国际·欧洲,https://tv.iill.top/migu/cctv4o
CCTV 5 体育,https://tv.iill.top/migu/cctv5
CCTV 5+ 体育赛事,https://tv.iill.top/migu/cctv5p
CCTV 6 电影,https://tv.iill.top/migu/cctv6
CCTV 7 国防军事,https://tv.iill.top/migu/cctv7
CCTV 8 电视剧,https://tv.iill.top/migu/cctv8
CCTV 9 纪录,https://tv.iill.top/migu/cctv9
CCTV 10 科教,https://tv.iill.top/migu/cctv10
CCTV 11 戏曲,https://tv.iill.top/migu/cctv11
CCTV 12 社会与法,https://tv.iill.top/migu/cctv12
CCTV 13 新闻,https://tv.iill.top/migu/cctv13
CCTV 14 少儿,https://tv.iill.top/migu/cctv14
CCTV 15 音乐,https://tv.iill.top/migu/cctv15
CCTV 17 农村农业,https://tv.iill.top/migu/cctv17
CETV 1 中国教育,https://tv.iill.top/migu/cetv1
CETV 2 中国教育,https://tv.iill.top/migu/cetv2
CETV 4 中国教育,https://tv.iill.top/migu/cetv4
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
江苏卫视,https://tv.iill.top/migu/jsws
东方卫视,https://tv.iill.top/migu/dfws
上视东方影视,https://tv.iill.top/migu/shys
CHC 家庭影院,https://tv.iill.top/migu/jtyy
红色轮播台,https://tv.iill.top/migu/hslb
金色剧场,https://tv.iill.top/migu/jsjc
NBA 经典,https://tv.iill.top/migu/nba
五大联赛经典,https://tv.iill.top/migu/lsjd
中国足球风云,https://tv.iill.top/migu/zqfy
咪咕24小时体育台,https://tv.iill.top/migu/mgty
•咪咕「足球」,#genre#
「西甲」01:00 -联赛-马德里竞技 vs 皇家贝蒂斯-周楚雄 贺宇,https://tv.iill.top/FB/jKyQ5K
「西甲」01:00 -联赛-拉斯帕尔马斯 vs 莱加内斯-梁祥宇,https://tv.iill.top/FB/MTM067
「西甲」01:00 -联赛-巴拉多利德 vs 阿拉维斯-孙雨轩,https://tv.iill.top/FB/I7G6MZ
「西甲」01:00 -联赛-塞维利亚 vs 皇家马德里-刘畅 王宇,https://tv.iill.top/FB/zNEWJh
「西甲」01:00 -联赛-马略卡 vs 赫塔费-张天翼,https://tv.iill.top/FB/NXg4Kd
「西甲」01:00 -联赛-塞尔塔 vs 巴列卡诺-鹿中原,https://tv.iill.top/FB/sMUAuO
「西甲」01:00 -联赛-瓦伦西亚 vs 毕尔巴鄂竞技-兰子非,https://tv.iill.top/FB/vLIpiU
「西甲」01:00 -联赛-巴塞罗那 vs 比利亚雷亚尔-张昊泽 李欣,https://tv.iill.top/FB/Y8fnrR
「西甲」01:00 -联赛-皇家社会 vs 赫罗纳-李霄,https://tv.iill.top/FB/0ZnklI
「西甲」01:00 -联赛-奥萨苏纳 vs 西班牙人-洪宇青,https://tv.iill.top/FB/8QAd7h
「意甲」02:45 -联赛-维罗纳 vs 科莫-吴奕博,https://tv.iill.top/FB/tL7j5E
「意甲」02:45 -联赛-莱切 vs 都灵-乔迁,https://tv.iill.top/FB/TN6OJ3
「意甲」02:45 -联赛-罗马 vs AC米兰-石庆圣 李彦,https://tv.iill.top/FB/uYEqmd
「意甲」02:45 -联赛-帕尔马 vs 那不勒斯-娄一晨 刘越,https://tv.iill.top/FB/z0aMqR
「意甲」02:45 -联赛-蒙扎 vs 恩波利-鲁靖明,https://tv.iill.top/FB/UnK5rT
「意甲」02:45 -联赛-蒙扎 vs 恩波利-鲁靖明,https://tv.iill.top/FB/Uhdk4n
「意甲」02:45 -联赛-尤文图斯 vs 乌迪内斯-吴桐,https://tv.iill.top/FB/DdOLsn
「意甲」02:45 -联赛-国际米兰 vs 拉齐奥-刘腾 黄健翔,https://tv.iill.top/FB/lcRTD9
